title;corresponding_author;author_2;author_3;country_corresponding_author;country_author2;country_author3;language;year_of_publication;family_studied;marine_realm;environment;ecological_community;minimum_depth;maximum_depth;province;approach;cryptic_or_cosmopolitan_species;molecular_data;molecular_marker;human_impact
Comparative phylogeography among hydrothermal vent species along the East Pacific Rise reveals vicariant processes and population expansion in the South;s. plouviez;t. m. shank;b. faure;France;France;france;english;2009;polynoidae,siboglinidae,hesionidae;12,22,10;marine;benthos;2500;2846;abyssal;phylogeography;yes;yes ; COI;no
Phylogeography of the common ragworm Hediste diversicolor (Polychaeta: Nereididae) reveals cryptic diversity and multiple colonization events across its distribution;m. virgilio;c. fauvelot;f. constantini;Belgium;Italy;Italy;english;2009;nereididae;2,5,1,3,18;brackish;benthos;0;0;littoral;phylogeography;yes;yes ; COI, cyt b;yes
Comparative phylogeography of two coastal polychaete tubeworms in the Northeast Atlantic supports shared history and vicariant events;m. t. jolly;f. viard;f. gentil;United Kingdom;France;France;english;2006;pectinariidae,oweniidae;5,18,3;marine,brackish;benthos;0;0;littoral;phylogeography;no;yes ; COI, 16s;no
Diversity and distributional patterns of Polychaeta in the deep South Atlantic;d. fiege;p. a. ramey;b. ebbe;Germany;United States of America;Germany;english;2010;acrocirridae,ampharetidae,cirratulidae,dorvilleidae,fauveliopsidae,flabelligeridae,glyceridae,goniadidae,lacydoniidae,magelonidae,nereididae,opheliidae,oweniidae,paraonidae,pilargidae,sabellidae,scalibregmatidae,sphaerodoridae,spionidae,syllidae,trichobranchidae;27;marine;benthos;5432;5495;abyssal;faunal affinity;no;no;;no
Can seamounts provide a good habitat for polychaete annelids? Example of the northeastern Atlantic seamounts;j. c. dauvin;v. surugiu;p. gillet;France;Romania;France;english;2008;acrocirridae,aphroditidae,amphinomidae,ampharetidae,cirratulidae,dorvilleidae,eunicidae,euphrosinidae,flabelligeridae,glyceridae,goniadidae,hesionidae,lumbrineridae,maldanidae,nereididae,nephtydae,opheliidae,oweniidae,onuphidae,oenonidae,paraonidae,pectinariidae,pholoidae,polynoidae,sigalionidae,phyllodocidae,poecilochaetidae,sabellidae,sabellariidae,scalibregmatidae,sphaerodoridae,spionidae,syllidae,sigalionidae,terebellidae;18;marine;benthos;55;2205;sublittoral,bathyal,abyssal;ecological statistical analysis,faunal similarity (cluster analysis);yes;no;;no
Two new and two rarely known species of Branchinotogluma (Annelida: Polynoidae) from deep-sea hydrothermal vents of the Manus Back-Arc basin, with remarks on the diversity and biogeography of vent polynoids;k. xu;x. wu;z. zhan;China;China;China;english;2019;polynoidae;13,20,15,10,12,7,18,21,19;marine;benthos;1707;1940;bathyal;molecular biogeography,faunal similarity (cluster analysis);no;yes ; COI, 16s, 18s, 28s;no
Global distributional patterns of selected deep-sea Polychaeta (Annelida) from the Southern Ocean;m. schuller;b. ebbe;NA;Germany;Germany;;english;2007;ampharetidae,opheliidae,scalibregmatidae,sphaerodoridae,syllidae,terebellidae;30;marine;benthos;NA;NA;NA;faunal affinity;no;no;;no
Macrofaunal abundance and composition on the West Antarctic Peninsula continental shelf: Evidence for a sediment food bank and similarities to deep-sea habitats;a. g. glover;c. r. smith;s. r. mincks;United Kingdom;United States of America;United States of America;english;2008;capitellidae,cossuridae,maldanidae,opheliidae,orbiniidae,paraonidae,scalibregmatidae,polynoidae,chrysopetalidae,hesionidae,glyceridae,nephtydae,sphaerodoridae,syllidae,phyllodocidae,lumbrineridae,dorvilleidae,onuphidae,sabellidae,serpulidae,acrocirridae,cirratulidae,fauveliopsidae,sternaspidae,flabelligeridae,ampharetidae,terebellidae,apistobranchidae,chaetopteridae,spionidae;30;marine;benthos;550;625;bathyal;faunal similarity (cluster analysis);no;no;;no
Patterns in polychaete abundance and diversity from the Madeira Abyssal Plain, northeast Atlantic;a. g. glover;g. paterson;b. bett;United Kingdom;United Kingdom;United Kingdom;english;2001;spionidae,cirratulidae,paraonidae,ampharetidae,pilargidae;18;marine;benthos;4900;4900;abyssal;ecological statistical analysis,faunal similarity (non-specified);no;no;;no
Genetic diversity of Timarete punctata (Annelida: Cirratulidae): Detection of pseudo-cryptic species and a potential biological invader;v. c. seixas;j. zanol;w. f. magalhaes;Brazil;Brazil;United States of America;english;2017;cirratulidae;21,9,11;marine;benthos;0;20;littoral,sublittoral;phylogeography;yes;yes ; COI, 16s;yes
